Species CountA CountC CountG CountT CountA_Syn CountC_Syn CountG_Syn CountT_Syn
Merlangius_merlangus.CytB 2918 2833 1700 3947 760 474 77 750
Merluccius_merluccius.CytB 2185 2927 1468 2540 555 708 140 287
Mesophylla_macconnelli.ND3 417 395 165 403 107 72 9 47
Mesoplodon_densirostris.ATP6 2309 1819 632 2231 586 221 18 410
Mesoplodon_densirostris.ATP8 652 452 76 549 108 50 12 72
Mesoplodon_densirostris.COX1 5421 4318 2870 5934 1635 698 134 832
Mesoplodon_densirostris.COX2 2852 1801 1041 2476 664 200 25 344
Mesoplodon_densirostris.COX3 2167 2028 1082 2550 622 341 7 369
Mesoplodon_densirostris.CytB 8199 7443 3322 8221 2336 1236 102 833
Mesoplodon_densirostris.ND1 3838 3216 1320 3437 1190 507 26 409
Mesoplodon_densirostris.ND2 4903 3675 954 3757 1104 655 46 447
Mesoplodon_densirostris.ND3 655 571 239 605 178 102 5 83
Mesoplodon_densirostris.ND4 7135 5455 2118 6910 1781 809 78 899
Mesoplodon_densirostris.ND4L 400 320 165 495 114 45 80 NA
Mesoplodon_europaeus.ATP6 1303 1178 394 1192 346 228 21 169
Mesoplodon_europaeus.ATP8 588 419 89 460 96 53 9 73
Mesoplodon_europaeus.COX1 4042 3425 2204 4260 1237 488 104 646
Mesoplodon_europaeus.COX2 1409 1063 523 1076 365 142 39 132
Mesoplodon_europaeus.COX3 1282 1314 638 1464 332 217 10 237
Mesoplodon_europaeus.CytB 2434 2304 939 2280 740 391 21 217
Mesoplodon_europaeus.ND1 2065 1856 728 1735 641 314 22 183
Mesoplodon_europaeus.ND2 4183 3331 853 3068 1027 629 44 361
Mesoplodon_europaeus.ND3 367 321 141 347 87 68 40 NA
Mesoplodon_europaeus.ND4 3694 3039 1120 3396 964 417 29 546
Mesoplodon_europaeus.ND4L 419 380 176 480 109 80 11 50
Metachirus_nudicaudatus.CytB 1817 1378 686 1819 552 172 20 176
Metallura_tyrianthina.ND2 17686 18993 5244 12530 4665 4270 429 775
Micrastur_gilvicollis.ND1 1032 1324 499 1021 318 317 31 109
Micrastur_gilvicollis.ND2 1266 1266 374 922 332 261 35 71
Microcebus_griseorufus.COX2 1709 1326 812 1601 382 200 43 240
Microcebus_griseorufus.CytB 13469 11911 5687 14292 3815 1895 91 1666
Microcebus_lehilahytsara.COX2 1855 1336 842 1718 425 193 31 242
Microcebus_lehilahytsara.CytB 3979 3656 1740 4123 1056 547 85 537
Microcebus_mittermeieri.COX2 1655 1186 728 1543 385 144 31 246
Microcebus_mittermeieri.CytB 3639 3236 1607 3893 955 472 100 515
Microcebus_murinus.ATP6 1247 1032 413 1358 297 146 13 205
Microcebus_murinus.ATP8 472 222 68 354 64 8 12 43
Microcebus_murinus.COX1 2565 2042 1556 3071 706 307 93 471
Microcebus_murinus.COX2 4348 3196 1910 3848 993 417 120 591
Microcebus_murinus.COX3 1303 1137 689 1569 340 169 24 210
Microcebus_murinus.CytB 7493 6584 3219 7716 1930 1029 81 1021
Microcebus_murinus.ND1 1857 1506 654 1707 535 225 52 170
Microcebus_murinus.ND2 2188 1375 502 1767 468 202 32 213
Microcebus_murinus.ND3 1247 909 458 1181 346 173 2 125
Microcebus_murinus.ND4 6116 4187 1810 5787 1466 614 71 600
Microcebus_murinus.ND4L 734 629 282 974 146 125 20 113
Microcebus_myoxinus.COX2 2845 2069 1314 2623 687 255 66 398
Microcebus_myoxinus.CytB 5174 4917 2449 5459 1362 755 172 756
Microcebus_ravelobensis.COX2 1077 805 503 1020 244 95 27 169
Microcebus_ravelobensis.CytB 1337 1207 595 1397 347 185 25 183
Microcebus_rufus.ATP6 1628 1346 576 1826 378 233 14 245
Microcebus_rufus.COX1 3463 2667 2036 4146 942 361 108 664
Microcebus_rufus.COX2 3277 2294 1463 3044 785 274 51 461
Microcebus_rufus.COX3 1692 1491 867 2046 383 237 34 312
Microcebus_rufus.CytB 4356 3926 1905 4555 1137 554 93 652
Microcebus_rufus.ND1 2392 1832 859 2189 734 278 43 177
Microcebus_rufus.ND3 3124 2126 1197 3213 667 363 83 367
Microcebus_simmonsi.COX2 2674 1988 1166 2344 659 207 60 381
Microcebus_simmonsi.CytB 3064 2686 1299 3157 794 353 44 465
Microcebus_tavaratra.COX2 880 631 404 809 210 66 31 126
Microcebus_tavaratra.CytB 2308 2142 1068 2418 608 264 63 382
Microcerculus_marginatus.CytB 6469 7768 3170 5333 2145 1567 252 261
Microchirus_variegatus.CytB 1666 2136 1134 1886 403 487 121 218
Micromesistius_poutassou.CytB 4567 5671 3186 5956 1105 1135 316 1024
Micromys_minutus.CytB 15501 14340 6244 14975 4840 2009 71 1780
Micronycteris_megalotis.CytB 6433 7077 2831 5259 2112 1417 79 302
Microphysogobio_alticorpus.CytB 6175 5856 3372 6257 1924 838 376 676
Microphysogobio_brevirostris.CytB 4291 4084 2222 4223 1493 696 164 353
Microphysogobio_fukiensis.CytB 1658 1599 874 1569 568 255 92 126
Microphysogobio_koreensis.CytB 2581 2556 1397 2586 830 451 158 226
Micropteropus_pusillus.CytB 29878 32850 13955 28773 8425 6601 779 2205
Micropterus_coosae.CytB 4512 6690 3332 5874 973 1810 310 663
Micropterus_dolomieu.CytB 8803 13318 6578 11584 1913 3659 611 1301
Micropterus_dolomieu.ND2 2484 3306 1303 2576 469 854 136 497
Micropterus_floridanus.CytB 6532 9417 4445 8106 1551 2542 348 862
Micropterus_floridanus.ND2 6018 7839 2906 6091 1324 1949 249 1159
Micropterus_henshalli.CytB 4253 6356 3162 5499 929 1752 290 575
Micropterus_punctulatus.CytB 9170 13446 6576 11589 1981 3631 612 1301
Micropterus_salmoides.CytB 5898 8838 4314 7805 1298 2371 388 897
Micropterus_salmoides.ND2 4140 5354 1970 4084 940 1353 170 766
Microstomus_kitt.CytB 1291 1767 904 1738 266 438 68 267
Microtus_agrestis.CytB 19615 19155 8666 17544 5864 3057 436 1400
Microtus_arvalis.COX1 2136 1980 1301 2293 631 299 91 349
Microtus_arvalis.CytB 109438 106329 50402 103342 31918 16804 2664 10070
Microtus_guentheri.CytB 2795 2631 1211 2481 837 395 76 193
Microtus_limnophilus.COX1 2496 2516 1644 2596 703 461 186 301
Microtus_limnophilus.CytB 17735 19086 8035 15563 4835 3668 589 1004
Microtus_longicaudus.CytB 22901 20578 9946 21810 6801 2769 466 2401
Microtus_lusitanicus.CytB 4260 4119 1816 3485 1324 611 111 250
Microtus_miurus.CytB 10838 10126 4726 9650 3307 1302 360 898
Microtus_obscurus.CytB 11657 10987 5196 10920 3450 1608 219 1152
Microtus_oeconomus.COX1 1710 1601 1066 1791 486 280 110 217
Microtus_pennsylvanicus.CytB 2751 2554 1210 2605 810 327 62 296
Microtus_subterraneus.CytB 14564 13297 6041 12838 4414 1944 343 1027
Micrurus_fulvius.CytB 1247 1349 475 1258 300 263 41 121
Micrurus_fulvius.ND4 1010 1001 420 884 274 192 20 124
Mimus_gilvus.ATP6 1341 1810 577 1039 495 391 93 51
Miniopterus_schreibersii.CytB 14328 15358 7303 14041 4101 2807 493 1604
Miniopterus_schreibersii.ND2 22875 18383 6393 18013 4948 3527 500 1919
Minla_ignotincta.CytB 1299 1520 608 1133 400 293 46 100
Minla_ignotincta.ND2 1180 1330 401 953 313 241 31 176
Minytrema_melanops.CytB 2235 2314 1256 2175 721 408 116 182
Minytrema_melanops.ND2 1260 1232 587 1097 374 232 54 179
Mionectes_macconnelli.ND2 1733 1916 665 1572 461 367 53 268
Mionectes_oleagineus.CytB 4148 5070 1818 3749 1249 1051 75 308
Mionectes_oleagineus.ND2 18449 20569 7096 16443 4832 4008 701 2722
Misgurnus_anguillicaudatus.ATP8 368 325 130 332 59 49 6 29
Misgurnus_anguillicaudatus.COX1 4265 4319 3083 5361 1106 801 267 904
Misgurnus_anguillicaudatus.COX3 1379 1535 972 1574 381 309 81 188
Misgurnus_anguillicaudatus.CytB 37443 36488 20405 42515 11488 6467 1624 4415
Misgurnus_anguillicaudatus.ND1 2647 2749 1420 2904 790 582 113 377
Misgurnus_anguillicaudatus.ND2 3217 3023 1374 2826 921 636 129 312
Misgurnus_anguillicaudatus.ND3 861 902 555 1162 224 208 42 148
Misgurnus_anguillicaudatus.ND4 5010 4913 2606 5411 1334 1027 205 676
Misgurnus_anguillicaudatus.ND4L 663 820 435 728 232 175 34 77
Misgurnus_bipartitus.CytB 1240 1209 698 1413 366 199 71 168
Misgurnus_nikolskyi.CytB 3342 3385 1913 3827 1009 589 192 443
Mniotilta_varia.ND2 2173 2573 721 1799 509 584 69 253
Mobula_japanica.COX1 1614 1449 1014 2091 389 248 51 379
Mobula_japanica.COX2 850 661 399 847 177 89 4 146
Mobula_japanica.ND1 1433 1430 552 1444 387 248 10 221
Mobula_japanica.ND2 1589 1452 469 1333 410 291 10 154
Mobula_japanica.ND4 1999 2053 765 1994 486 377 9 356
Mobula_japanica.ND4L 292 375 136 348 91 89 55 NA
Mogera_imaizumii.CytB 7554 6216 3219 6888 2557 681 232 447
Mogera_robusta.CytB 3490 2714 1465 3451 1129 299 80 262
Mogera_wogura.CytB 12189 9695 5179 11595 3989 1051 298 864
Mogurnda_adspersa.ATP6 5682 6021 2753 5857 1741 1168 348 699
Mogurnda_adspersa.ATP8 439 659 162 459 109 125 16 85
Monarcha_castaneiventris.ND2 2764 2929 1086 2318 767 538 144 310
Monodelphis_americana.CytB 9403 8055 3902 9720 2898 1167 160 951
Monodelphis_arlindoi.CytB 5678 4487 2256 5915 1626 540 116 705
Monodelphis_brevicaudata.CytB 3152 2567 1234 3253 900 347 48 353
Monodelphis_domestica.CytB 21508 17814 9019 22638 6274 2143 500 2594
Monodelphis_glirina.CytB 8129 6973 3540 8430 2281 885 271 941
Monodelphis_touan.CytB 11963 9742 4827 12528 3528 1037 189 1650
Monopterus_albus.ATP6 891 1107 400 1007 244 247 41 154
Monopterus_albus.ATP8 126 166 54 194 15 25 6 30
Monopterus_albus.COX1 1940 2259 1320 2251 426 499 123 323
Monopterus_albus.COX2 1078 884 506 982 198 121 40 181
Monopterus_albus.COX3 964 1307 610 1034 229 313 14 158
Monopterus_albus.CytB 19423 25661 10391 23803 4293 6274 502 2819
Monopterus_albus.ND1 1222 1622 623 1393 279 425 55 213
Monopterus_albus.ND2 1295 1594 610 1301 253 334 56 271
Monopterus_albus.ND3 435 539 218 548 94 121 10 62
Monopterus_albus.ND4L 367 498 200 405 84 122 22 56
Monticola_sharpei.ND2 1930 2243 692 1361 523 498 65 126
Monticola_solitarius.ND2 2709 3057 968 1868 793 674 81 159
Montivipera_xanthina.CytB 4895 5390 2063 4644 1288 1002 188 454
Morelia_spilota.CytB 9664 10385 3675 8377 2757 1877 252 489
Moschus_berezovskii.CytB 1451 1170 583 1344 429 161 32 113
Moschus_chrysogaster.ND4 1365 1162 428 1176 360 204 18 107
Moschus_moschiferus.CytB 1447 1191 577 1333 439 172 21 109
Motacilla_alba.ND2 27400 32216 9735 20948 7735 6512 1392 2854
Motacilla_cinerea.ND2 1711 1992 641 1310 463 416 96 160
Motacilla_flava.ND2 5433 6220 2061 4251 1573 1247 260 552
Moxostoma_austrinum.CytB 6896 7358 4792 8704 1959 1249 642 1119
Moxostoma_congestum.CytB 2871 3041 1984 3504 775 510 272 468
Moxostoma_erythrurum.CytB 3088 3086 1791 3435 924 572 172 382
Moxostoma_poecilurum.CytB 1825 1821 1098 2096 519 306 108 256
Mugil_cephalus.ATP6 914 1116 392 983 253 258 31 108
Mugil_cephalus.ATP8 205 226 74 155 34 37 5 25
Mugil_cephalus.COX1 1528 1671 1137 1916 385 327 99 332
Mugil_cephalus.COX2 976 938 524 1012 180 170 13 171
Mugil_cephalus.COX3 1024 1210 628 1053 279 242 41 124
Mugil_cephalus.CytB 15722 20930 9799 19879 4380 4761 760 2490
Mugil_cephalus.ND1 1259 1595 630 1346 379 402 33 159
Mugil_cephalus.ND2 1273 1700 484 1118 253 468 34 191
Mugil_cephalus.ND3 375 588 258 519 97 160 24 64
Mugil_cephalus.ND4 1801 2269 909 1919 389 576 40 306
Mugil_cephalus.ND4L 318 511 226 415 90 147 12 56
Mugil_curema.CytB 1642 2382 1064 2051 479 621 53 237
Mugilogobius_chulae.CytB 1106 1330 723 1401 303 276 60 209
Mulloidichthys_dentatus.ATP6 4091 5235 2611 4389 1231 1120 377 621
Mulloidichthys_flavolineatus.ATP6 3361 4108 1813 3616 901 894 156 600
Mulloidichthys_martinicus.ATP6 3056 3948 1955 3276 927 846 266 467
Mulloidichthys_vanicolensis.ATP6 6454 8314 4129 6941 1958 1750 578 1017
Mulloidichthys_vanicolensis.ATP8 408 570 262 406 96 81 32 109
Mullus_surmuletus.CytB 2293 3276 1747 2890 511 751 207 376
Mungotictis_decemlineata.CytB 5134 6071 2394 4532 1413 1285 169 264
Mungotictis_decemlineata.ND2 1482 1265 417 1000 366 228 58 73
Muntiacus_crinifrons.CytB 1751 1575 716 1628 595 249 32 106
Muntiacus_muntjak.CytB 2101 1868 872 1977 703 292 42 135
Muntiacus_muntjak.ND4 2060 1788 721 1956 490 381 33 177
Muntiacus_reevesi.ND4 1640 1425 580 1575 405 296 27 157
Muntiacus_vuquangensis.CytB 1391 1258 593 1306 456 212 27 76
Murina_cyclotis.ND1 1244 1005 451 1116 376 150 34 115
Murina_leucogaster.CytB 2032 1853 927 2010 555 306 53 196
Mus_caroli.CytB 14400 11206 5671 14202 4161 1197 225 1380
Mus_cervicolor.CytB 2543 2120 945 2372 793 256 8 228
Mus_cookii.CytB 1498 1183 527 1352 464 164 80 NA
Mus_minutoides.CytB 11065 10231 4917 11110 3211 1591 294 1065
Mus_musculus.ATP6 7128 5626 2051 6213 2269 739 43 604
Mus_musculus.ATP8 1311 845 182 878 360 79 24 48
Mus_musculus.COX1 24247 19537 13005 24937 8154 2988 438 3005
Mus_musculus.COX2 5746 4338 2254 4687 1291 609 123 638
Mus_musculus.COX3 9795 8335 4578 10177 3169 1089 105 1328
Mus_musculus.CytB 101396 90003 41490 96190 30778 13956 1868 6262
Mus_musculus.ND1 12619 9712 4376 11176 3696 1387 294 898
Mus_musculus.ND2 14792 11720 3822 11426 3329 1838 392 1275
Mus_musculus.ND3 2655 1778 904 2595 730 170 83 272
Mus_musculus.ND4 19385 14499 5889 16675 4690 2042 312 1761
Mus_musculus.ND4L 1631 1709 687 1715 516 378 67 188
Mus_musculus_castaneus.ATP6 1374 1095 396 1203 439 152 7 110
Mus_musculus_castaneus.COX1 3671 2960 1958 3747 1247 451 58 449
Mus_musculus_castaneus.COX2 1153 863 448 941 254 122 25 126
Mus_musculus_castaneus.COX3 1170 1009 549 1187 390 132 10 148
Mus_musculus_castaneus.CytB 8664 7274 3361 8061 2543 1037 139 553
Mus_musculus_castaneus.ND1 2395 1891 863 2123 715 282 58 172
Mus_musculus_castaneus.ND2 2648 2079 602 1916 627 335 60 191
Mus_musculus_castaneus.ND3 459 311 160 450 131 31 12 45
Mus_musculus_castaneus.ND4 3324 2485 965 2865 846 356 38 293
Mus_musculus_domesticus.ATP6 1378 1073 398 1219 435 132 8 132
Mus_musculus_domesticus.COX2 1605 1219 634 1309 365 173 34 177
Mus_musculus_domesticus.COX3 1403 1185 649 1461 455 149 13 198
Mus_musculus_domesticus.CytB 25482 21886 9864 23552 7539 3412 384 1428
Mus_musculus_domesticus.ND1 1534 1250 556 1430 456 185 48 125
Mus_musculus_domesticus.ND2 3432 2575 734 2547 811 356 61 321
Mus_musculus_domesticus.ND3 466 307 153 454 131 26 12 51
Mus_musculus_domesticus.ND4 3841 2849 1078 3248 961 409 64 312
Mus_musculus_domesticus.ND4L 350 356 130 340 105 72 13 36
Mus_musculus_molossinus.CytB 3611 3043 1406 3340 1053 448 66 212
Mus_musculus_musculus.ATP6 2309 1841 657 1973 742 251 14 172
Mus_musculus_musculus.ATP8 580 370 78 379 161 36 8 20
Mus_musculus_musculus.COX1 5039 4026 2691 5206 1687 617 88 629
Mus_musculus_musculus.COX2 1385 1043 536 1122 311 142 31 157
Mus_musculus_musculus.COX3 3013 2589 1434 3143 961 353 42 397
Mus_musculus_musculus.CytB 35000 30473 14079 32860 10423 4664 682 2015
Mus_musculus_musculus.ND1 4592 3722 1602 4124 1368 623 104 264
Mus_musculus_musculus.ND2 5366 4109 1119 3854 1329 630 57 407
Mus_musculus_musculus.ND3 1154 763 396 1137 308 73 43 119
Mus_musculus_musculus.ND4 6660 5014 1918 5686 1642 741 104 525
Mus_musculus_musculus.ND4L 779 798 308 761 239 158 28 79
Mus_setulosus.CytB 3193 2470 1263 3331 969 344 45 326
Mus_spretus.CytB 2163 1841 854 1910 659 266 41 89
Mus_terricolor.CytB 1474 1242 530 1314 423 184 13 82
Muscicapa_striata.ND2 7454 8364 2738 5996 1788 1731 313 814
Mustela_erminea.CytB 22372 22717 9171 20582 6250 3876 205 1736
Mustela_erminea.ND2 3424 2430 817 2239 916 351 64 142
Mustela_frenata.CytB 18262 17319 7936 17881 5512 2508 270 1911
Mustela_itatsi.ATP6 1262 1227 454 1125 308 216 60 126
Mustela_itatsi.COX1 2549 2176 1617 2910 737 262 183 449
Mustela_itatsi.COX3 1285 1345 663 1279 381 246 24 144
Mustela_itatsi.ND1 2219 2117 908 2028 647 369 44 244
Mustela_nivalis.CytB 18137 19593 8691 18307 4757 3554 507 1599
Mustela_nivalis.ND1 868 856 355 783 271 158 26 73
Mustela_nivalis.ND2 5416 3990 1561 3882 1387 604 221 296
Mustela_putorius.CytB 1662 1710 731 1582 446 296 41 133
Mustela_sibirica.ATP6 1040 995 388 967 264 162 43 135
Mustela_sibirica.ATP8 383 224 88 310 80 10 10 45
Mustela_sibirica.COX1 2939 2600 1935 3320 860 344 244 472
Mustela_sibirica.COX2 1314 1089 588 1095 287 149 41 172
Mustela_sibirica.CytB 7285 7465 3211 7053 1917 1243 140 669
Mustela_sibirica.ND1 1744 1678 690 1612 497 301 47 169
Mustela_sibirica.ND2 4122 2819 1036 2946 1104 376 67 237
Mustela_sibirica.ND3 452 365 173 390 137 53 13 42
Mustela_sibirica.ND4 3160 2652 1135 2692 795 428 108 264
Mustela_sibirica.ND4L 339 328 137 372 101 76 7 24
Mustelus_manazo.ND2 1495 1368 470 1527 385 236 20 259
Myadestes_occidentalis.ATP6 766 956 274 692 260 208 18 68
Myadestes_ralloides.CytB 1607 1967 761 1360 528 394 60 94
Myiagra_rubecula.ND2 1471 1610 649 1220 403 296 97 155
Myiagra_ruficollis.ND2 1194 1267 502 997 329 245 64 127
Myiarchus_ferox.ATP6 1593 1840 486 1526 455 345 23 241
Myiarchus_swainsoni.ATP6 3057 3735 1041 3060 860 706 64 507
Myioborus_melanocephalus.CytB 2141 2573 1004 1863 690 496 67 167
Myioborus_melanocephalus.ND2 2118 2430 754 1691 519 495 84 245
Myioborus_miniatus.CytB 3686 4564 1716 3030 1221 952 80 187
Mylocheilus_caurinus.CytB 1516 1659 904 1576 430 270 110 200
Mylopharyngodon_piceus.COX1 1685 1658 1105 1744 566 263 102 245
Mylopharyngodon_piceus.COX2 835 758 463 704 201 122 29 84
Mylopharyngodon_piceus.COX3 879 886 530 837 307 123 26 104
Mylopharyngodon_piceus.CytB 1758 1614 791 1537 628 261 42 100
Mylopharyngodon_piceus.ND1 1199 1194 558 937 471 206 39 65
Mylopharyngodon_piceus.ND2 1420 1378 490 888 462 271 15 92
Mylopharyngodon_piceus.ND4 1736 1621 786 1377 565 279 73 116
Myodes_gapperi.CytB 2758 2731 1187 2444 813 464 41 206
Myodes_glareolus.ATP6 6459 6289 2158 6112 1767 1141 153 720
Myodes_glareolus.ATP8 1411 1077 263 1068 233 134 73 150
Myodes_glareolus.COX1 14270 13476 7905 13693 4467 2475 462 1493
Myodes_glareolus.COX2 5492 4630 2325 4578 1189 761 112 620
Myodes_glareolus.COX3 6365 6570 3242 6530 1771 1328 100 633
Myodes_glareolus.CytB 63736 61743 26751 57578 17997 10351 1059 5050
Myodes_glareolus.ND1 8898 8767 3402 7553 2812 1540 237 529
Myodes_glareolus.ND2 10720 9061 2508 7843 2574 1614 210 624
Myodes_glareolus.ND3 3002 2399 973 2596 717 367 26 181
Myodes_glareolus.ND4 13546 11417 4425 11067 3400 1832 288 1190
Myodes_glareolus.ND4L 2118 2073 929 2230 640 257 119 291
Myodes_rufocanus.COX1 1731 1618 1031 1776 499 307 79 196
Myodes_rufocanus.CytB 6602 6674 2918 6186 1967 1233 93 471
Myodes_rutilus.CytB 53687 54284 24410 49760 15632 9688 1020 3972
Myonycteris_torquata.CytB 21930 24164 10316 20702 6492 4263 533 2047
Myotis_albescens.CytB 4796 4115 2022 4937 1380 605 86 601
Myotis_alcathoe.CytB 2733 2170 1188 2980 738 276 62 366
Myotis_aurascens.CytB 6066 5054 2646 6646 1574 711 163 836
Myotis_aurascens.ND1 2292 1654 808 2230 616 270 27 227
Myotis_blythii.CytB 2058 1728 842 2167 570 263 25 259
Myotis_brandtii.ND1 7469 6816 3026 6700 2223 1383 183 505
Myotis_daubentonii.ND1 1249 987 436 1144 337 167 36 101
Myotis_davidii.CytB 5945 5592 2716 6208 1575 895 162 741
Myotis_formosus.CytB 1331 1203 588 1390 363 213 6 136
Myotis_horsfieldii.CytB 1303 1277 624 1332 359 177 47 179
Myotis_ikonnikovi.CytB 3762 3077 1616 4052 1059 441 80 476
Myotis_ikonnikovi.ND1 2092 1685 800 2100 603 277 58 252
Myotis_keaysi.CytB 1359 1153 585 1439 385 168 34 164
Myotis_lucifugus.COX2 2259 1638 1008 2190 443 199 65 370
Myotis_lucifugus.CytB 2802 2503 1331 3083 801 405 86 342
Myotis_lucifugus.ND1 1206 1019 443 1148 339 185 22 103
Myotis_macrodactylus.CytB 4434 4133 1936 4277 1299 645 119 435
Myotis_macrodactylus.ND1 1437 1153 514 1365 384 181 28 169
Myotis_muricola.CytB 1651 1452 762 1819 419 211 61 237
Myotis_myotis.CytB 12982 10924 5490 13796 3574 1592 224 1667
Myotis_mystacinus.CytB 4348 3806 1977 4610 1266 511 91 588
Myotis_mystacinus.ND1 16556 12413 6232 15605 4960 1659 369 1777
Myotis_nattereri.CytB 4392 3810 1828 4588 1188 608 31 493
Myotis_nigricans.CytB 1656 1511 764 1737 479 228 44 202
Myotis_siligorensis.CytB 1616 1579 750 1676 444 266 41 190
Myotis_velifer.CytB 3118 2908 1485 3258 921 472 86 372
Myotis_volans.CytB 1964 1714 899 2100 539 249 72 243
Myotis_yumanensis.CytB 1307 1211 590 1350 385 195 36 148
Myripristis_berndti.ATP6 5479 7423 2926 5636 1644 1660 269 848
Mystacina_tuberculata.ND2 8587 6849 2244 6262 2042 1246 188 575
Mystacoleucus_marginatus.CytB 1375 1308 649 1192 488 199 47 72
Myxocyprinus_asiaticus.CytB 4278 4888 2823 4661 1294 923 392 422
Myxocyprinus_asiaticus.ND2 1063 1237 724 946 301 248 140 123
Naja_atra.CytB 13618 13256 5027 12739 3734 1894 621 1380
Nandinia_binotata.CytB 1680 1815 716 1474 504 377 23 60
Nannoperca_australis.ATP6 3162 3925 1604 3660 654 899 194 494
Nannoperca_australis.ATP8 614 680 229 451 98 138 4 73
Nannoperca_australis.CytB 28372 39099 17576 34686 7087 10111 1102 3979
Nannoperca_australis.ND1 5605 6976 3309 6466 1360 1869 269 833
Nannoperca_australis.ND2 5457 7234 2775 5852 1044 1837 217 1242
Nannoperca_australis.ND4 9300 11364 5358 9858 2175 2968 474 1262
Nannoperca_australis.ND4L 789 1339 679 1309 234 286 98 262
Nannoperca_obscura.ATP6 882 1057 433 1033 224 238 41 141
Nannoperca_obscura.CytB 6916 9532 4255 8391 1675 2471 302 930
Nannoperca_obscura.ND1 1476 1769 837 1690 370 464 56 217
Nannoperca_obscura.ND2 983 1309 507 1077 187 328 43 230
Nannoperca_obscura.ND4 1807 2179 1018 1896 427 566 86 240
Nannoperca_obscura.ND4L 225 385 195 371 69 83 27 73
Nannoperca_vittata.ATP6 691 831 339 863 156 188 32 134
Nannospalax_ehrenbergi.CytB 3915 3538 1559 3264 1337 484 77 200
Nannospalax_ehrenbergi.ND1 1864 1691 639 1473 685 262 34 86
Nannospalax_galili.ATP6 2081 1743 614 1652 621 273 24 210
Nannospalax_galili.COX1 2325 1816 1296 2273 800 224 92 255
Nannospalax_galili.COX2 925 701 391 707 241 92 23 88
Nannospalax_galili.COX3 918 883 477 854 323 111 33 89
Nannospalax_galili.CytB 1832 1626 732 1495 616 226 43 85
Nannospalax_galili.ND1 1564 1391 541 1229 584 216 31 59
Nannospalax_galili.ND2 1649 1317 421 1263 408 219 12 95
Nannospalax_galili.ND4 2333 1704 681 1807 699 225 31 150
Nannospalax_galili.ND4L 349 321 123 383 122 57 10 28
Nannospalax_golani.ATP6 1376 1147 412 1115 389 179 19 145
Nannospalax_judaei.ATP6 2287 2024 697 1742 663 351 37 189
Nannospalax_leucodon.CytB 5366 4519 2211 4734 1831 527 62 379
Nannospalax_nehringi.CytB 3780 3235 1581 3581 1255 398 85 278
Nannospalax_nehringi.ND1 3730 3114 1291 3169 1368 457 63 214
Nanonycteris_veldkampii.CytB 5777 6330 2721 5584 1721 1230 109 465
Nanorana_parkeri.CytB 17781 25030 12890 23415 3908 5626 1638 2832
Nanorana_quadranus.ND2 21997 19345 8409 22519 3742 4805 596 2727
Nanorana_sichuanensis.ND2 18904 19293 6283 18472 4521 4414 533 2439
Nanorana_taihangnica.ND2 14478 13957 5931 13808 2980 3258 544 1646
Napaeozapus_insignis.CytB 9213 9241 4098 10334 2434 1611 74 1362
Nasalis_larvatus.ND4 1741 1560 541 1662 365 316 29 186
Nasua_nasua.CytB 1372 1346 608 1222 406 221 57 88
Natrix_maura.CytB 14625 15579 5324 12331 4215 2988 362 824
Natrix_maura.ND1 1955 1814 743 1515 579 346 68 149
Natrix_natrix.CytB 11306 11120 4202 10701 3071 2147 358 812
Natrix_tessellata.CytB 22585 21741 8691 21531 5821 3857 848 2234
Nectogale_elegans.ATP6 772 573 256 811 182 63 12 144
Nectogale_elegans.CytB 1926 1743 904 2249 511 303 45 273
Nectogale_elegans.ND2 1843 1133 362 1372 453 150 6 129
Nematalosa_erebi.ATP6 709 856 441 679 219 138 80 113
Neoceratodus_forsteri.ATP6 1374 1358 617 1017 504 188 80 77
Neodon_irene.COX1 2136 2050 1310 2211 619 371 116 276
Neodon_irene.CytB 5369 5463 2408 5000 1523 971 110 391
Neofelis_nebulosa.ATP8 360 216 90 270 68 18 12 42
Neofelis_nebulosa.ND2 1470 1230 418 1022 332 249 44 88
Neofelis_nebulosa.ND4 1725 1533 684 1530 443 265 68 176
Neogobius_fluviatilis.CytB 12891 15424 8295 15692 3333 3331 785 1929
Neogobius_melanostomus.CytB 1676 2098 1073 1939 418 482 117 189
Neogobius_pallasi.CytB 15529 19284 10703 19293 4099 4070 1139 2365
Neolamprologus_brichardi.ND2 1306 1831 638 1445 251 463 61 319
Neolissochilus_hexagonolepis.ATP6 2502 2390 1187 2345 931 361 161 265
Neolissochilus_hexagonolepis.ATP8 579 426 184 431 97 50 9 42
Neolissochilus_hexagonolepis.CytB 1567 1540 785 1492 518 280 67 70
Neomys_fodiens.CytB 3584 3294 1686 3810 1080 511 85 406
Neopagetopsis_ionah.ND2 7283 10301 4488 6985 1742 2761 515 1186
Neophocaena_asiaeorientalis.CytB 2697 2655 1235 2509 750 479 109 184
Neophocaena_phocaenoides.CytB 14868 14650 6751 13759 4147 2622 589 1004
Neosalanx_taihuensis.CytB 9365 14925 7763 12407 1805 4047 972 1229
Neotetracus_sinensis.CytB 1325 1081 600 1554 348 134 33 210
Neotoma_albigula.CytB 16622 15038 7543 17497 4933 2264 478 1985
Neotragus_moschatus.CytB 1418 1306 608 1216 450 210 38 79
Neotrygon_kuhlii.CytB 34629 38700 15648 37959 9578 8027 745 3551
